id,bucket,file_origine,data_documento,fornitore,descrizione,categoria_db,categoria_runtime,prezzo_unitario,totale_riga,quantita,tipo_documento,needs_review
119197,storno,IT00488410010_s6a0q.xml,2026-03-11,TIM S.P.A,PROMO VALORE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-15.0,-15.0,1.0,TD01,False
113731,storno,IT0164179070220262_00vu6.xml,2026-01-08,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-25.2,-25.2,1.0,TD01,False
113734,storno,IT0164179070220262_00vu6.xml,2026-01-08,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-41.4,-41.4,1.0,TD01,False
113737,storno,IT0164179070220262_00vu6.xml,2026-01-08,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-47.4,-47.4,1.0,TD01,False
119206,sconto_omaggio,IT01378570350_ohdgt.xml,2026-03-31,EKAF INDUSTRIA NAZIONALE DEL CAFFE' SPA,TAZZE+PIAT.CAFFE'CELLINI BAR,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,2.2,0.0,12.0,TD24,False
113740,storno,IT0164179070220262_00vu6.xml,2026-01-08,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-53.4,-53.4,1.0,TD01,False
113743,storno,IT0164179070220262_00vu6.xml,2026-01-08,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-34.8,-34.8,1.0,TD01,False
119214,sconto_omaggio,IT01378570350_ohdgt.xml,2026-03-31,EKAF INDUSTRIA NAZIONALE DEL CAFFE' SPA,BICCHIERINO CAFFE'CELLINI VETRO,MANUTENZIONE E ATTREZZATURE,MANUTENZIONE E ATTREZZATURE,0.55,0.0,24.0,TD24,False
119219,storno,IT01378570350_oPA2R.xml,2026-03-04,PREGIS S.P.A,COPERCHI BICC CARTONCIN CC120 PZ100 ISAP,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-2.32,-2.32,1.0,TD04,False
119220,storno,IT01378570350_oPA2R.xml,2026-03-04,PREGIS S.P.A,COPERCHI BICC CARTONCIN CC80/100 PZ100,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-2.24,-2.24,1.0,TD04,False
113746,storno,IT0164179070220262_00vu6.xml,2026-01-08,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-99.6,-99.6,1.0,TD01,False
113748,storno,IT0164179070220262_00vu6.xml,2026-01-08,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-11.6,-11.6,1.0,TD01,False
113750,storno,IT0164179070220262_00vu6.xml,2026-01-08,VAV SRL,SCONTO MERCE,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-9.6,-9.6,1.0,TD01,False
119284,sconto_omaggio,IT02496180122_021CP.xml,2026-03-31,DOLCEMAGIC SRL,GROSTOLI X 2 KG,PASTICCERIA,PASTICCERIA,17.6,0.0,1.0,TD24,False
113794,sconto_omaggio,IT00707240966_0270R.xml.p7m,2026-01-31,BUZZI SPA,ROAST BEEF BOV. FEM. LAVORATO,CARNE,CARNE,0.0,0.0,163.75,TD24,False
113796,sconto_omaggio,IT00707240966_0270R.xml.p7m,2026-01-31,BUZZI SPA,SERVIZIO DI DISOSSO E LAVORAZIONE,📝 NOTE E DICITURE,📝 NOTE E DICITURE,0.0,0.0,248.3,TD24,False
113810,storno,IT01961900246_g34Oi.xml,2026-02-13,FASTWEB S.P.A,SCONTI,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-30.0,-30.0,1.0,TD01,False
113828,storno,IT02355260981_e2BWx.xml.p7m,2026-02-09,PANAPESCA S.P.A,GAMBERI ROSSI,PESCE,PESCE,-38.2,-916.8,24.0,TD04,False
114641,storno,IT04157540966_ijdrw.xml,2026-02-16,METRO ITALIA S.P.A,LT1 HOPLA PREP.VEGETALE,SALSE E CREME,SALSE E CREME,-2.98,-32.78,11.0,TD04,False
119373,storno,IT06628860964_g7nlE.xml,2026-03-10,ANDREA MALFITANO,A0006 - TAZZINA FUSION SO6,MATERIALE DI CONSUMO,MATERIALE DI CONSUMO,-1.5,-18.0,12.0,TD24,False
119447,storno,IT12883420155_ACZIp.xml,2026-03-18,A2A ENERGIA SPA,ARROTONDAMENTO ATTUALE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,-0.61,-0.61,1.0,TD01,False
119438,sconto_omaggio,IT12281740154Z0002_LCQCE (1).xml,2026-03-31,FABRIZIO CARUSO,NOLEGGIO MERCE MANCANTE,SERVIZI E CONSULENZE,SERVIZI E CONSULENZE,0.0,0.0,1.0,TD01,True
119461,sconto_omaggio,IT016417907022026g_03doJ.xml,2026-03-25,LA.SI. DISTRIBUZIONE SRL,ZUCCHERO BUSTINE BIANCO GR.4 X KG.8 (2000 PZ) NOVARESE,VARIE BAR,VARIE BAR,23.98,0.0,3.0,TD01,False
119463,sconto_omaggio,IT016417907022026g_03doJ.xml,2026-03-25,LA.SI. DISTRIBUZIONE SRL,ZUCCHERO BUSTINE CANNA GR.4 X KG.4 (1000 PZ) NOVARESE,VARIE BAR,VARIE BAR,15.79,0.0,2.0,TD01,False
119475,sconto_omaggio,IT016417907022026L_02HXg.xml,2026-03-11,LA.SI. DISTRIBUZIONE SRL,FISHERMAN'S BIANCA X 24 PZ,SHOP,SHOP,31.2,0.0,1.0,TD01,False
119482,sconto_omaggio,IT016417907022026L_02HXg.xml,2026-03-11,LA.SI. DISTRIBUZIONE SRL,RICOLA LAMPONE E MELISSA X 20 PZ,SHOP,SHOP,35.8,0.0,1.0,TD01,False
